score_full	country	S2	S5	S26	S27	education	age
35.9	CA	3	3	1	4	3	45
44	AU	3	1	1	1	3	64
38.95	CA	3	4	2	1	3	25
37.65	AU	4	3	4	5	4	67
40.95	US	1	2	1	4	4	38
37.25	US	1	1	1	1	3	55
22.25	HR	3	3	2	1	1	16
31.2	AU	3	4	1	5	2	18
3.3	MY	0	0	0	0	3	20
36.95	CA	1	1	4	5	2	46
42.3	AU	3	1	1	5	4	41
43.65	CA	4	1	1	4	4	46
38.25	CA	2	2	3	5	3	56
24.65	SI	1	3	2	2	4	52
17.45	PT	4	5	2	3	1	15
40.95	CA	3	1	2	5	4	44
40.3	CA	3	3	3	4	2	19
34.2	CA	2	3	2	5	4	55
32.25	CA	3	3	1	2	4	37
30.9	CA	2	2	1	4	2	29
41.3	US	4	2	3	5	2	18
24.25	GR	5	1	4	5	2	25
11.6	GB	2	2	5	5	4	24
38.25	CA	1	1	1	3	2	71
40.65	CA	2	1	2	4	4	38
32.85	CA	2	1	1	3	3	35
26.1	US	4	5	1	4	3	42
32.55	US	3	4	4	3	2	54
32.9	US	5	1	5	5	1	17
32.2	CA	1	5	1	5	3	40
32.55	US	2	4	3	4	3	50
37.95	AU	3	4	4	4	2	55
13.75	US	5	3	3	1	2	21
40.3	PT	3	1	1	1	3	33
36.3	US	4	5	2	3	1	14
37.95	CA	3	1	1	3	3	50
13.9	IN	3	1	3	3	3	20
13.5	US	4	3	3	3	1	14
33.9	US	3	5	3	3	3	40
21.15	US	5	1	5	2	1	14
39.6	US	1	1	1	1	4	63
40.95	AU	1	3	1	4	2	55
36.6	CA	3	3	1	5	4	37
32.55	US	4	1	4	2	3	22
23.1	GB	5	3	1	3	3	18
29.9	CA	2	5	3	3	2	21
40.95	US	2	2	3	3	2	63
35.25	CA	1	3	4	5	4	27
30.5	CL	3	1	5	1	2	19
23.8	US	1	3	1	5	3	37
38.25	US	2	3	3	3	4	39
39.6	US	1	3	4	2	3	62
32.95	CA	5	1	4	5	4	28
38.65	CA	1	5	5	5	3	21
35.9	US	3	4	3	4	2	19
37.3	US	4	2	1	5	4	34
45	US	1	1	5	5	2	23
39.95	CA	3	2	2	4	3	37
34.65	DE	4	2	4	3	2	21
28.5	GR	5	1	1	4	2	18
33.55	CA	2	4	1	3	2	15
11.85	None	5	1	3	5	2	23
17.25	MT	2	3	2	3	2	18
42	CA	3	5	4	4	4	33
25.95	US	1	5	1	1	3	31
36.65	GR	1	4	4	3	3	50
34.95	MX	4	3	3	4	2	19
27.9	CA	5	2	2	4	3	25
39.3	CA	3	4	2	3	4	31
33.25	US	3	3	4	5	1	14
26.85	CA	2	1	2	5	4	22
35.3	CA	3	5	1	4	4	29
29.55	EU	4	4	4	3	2	23
27.15	US	2	1	1	4	4	48
26.2	CA	2	2	2	3	3	25
38.3	US	1	3	1	4	3	50
9.7	PK	1	1	3	1	2	16
36.6	US	2	3	4	4	2	47
37.25	CA	2	1	1	5	4	30
32.25	CA	3	4	2	5	3	36
42	US	5	1	2	4	3	48
45	US	2	3	2	4	3	30
36.3	CA	4	1	2	4	3	27
43.65	CA	4	1	2	5	3	37
33.95	CA	4	1	4	5	2	19
31.95	GB	2	2	2	5	2	19
29.5	US	3	1	1	5	3	23
42.3	CA	2	3	2	4	4	50
30.25	RO	4	4	2	3	1	18
30.9	CA	2	2	1	5	2	24
22.05	CO	3	1	1	1	2	21
24.2	CA	2	3	2	5	3	26
13.45	GB	4	5	5	5	1	15
33.25	US	2	1	2	4	4	48
43.65	CA	2	4	2	4	2	33
21.5	PL	5	1	3	5	2	60
35.25	AU	1	5	1	4	2	56
25.8	AU	3	1	2	3	2	46
-11.55	US	1	2	3	1	4	24
40.95	CA	2	1	2	5	4	31
19.9	ZA	4	4	1	5	3	32
39.6	HR	3	3	3	5	2	65
41.3	BE	4	1	1	1	4	42
31.9	GB	3	5	5	5	2	49
33.95	US	3	3	2	4	2	25
35.9	US	1	5	1	3	3	32
39.3	GB	4	2	2	5	3	54
24.6	RS	2	1	2	3	3	36
43.65	EU	1	1	1	5	3	54
37	GB	1	4	1	3	3	55
41.65	GB	3	4	1	4	3	52
40.95	US	2	1	4	4	3	58
37.25	GB	2	1	2	4	2	44
24.8	MX	3	4	2	2	2	24
41.65	US	3	1	3	4	2	27
24	GB	5	5	1	5	4	41
34.95	RU	4	2	4	4	3	33
38.6	US	5	1	5	5	3	70
29.2	US	3	5	1	5	2	18
44	US	2	2	1	5	3	60
33.55	GB	1	3	3	4	3	36
22.2	DK	1	3	3	1	3	38
36.9	GB	2	1	2	1	3	41
32.95	GB	2	1	2	2	3	23
35.55	US	2	1	1	5	2	50
42	GB	3	1	4	4	2	53
17.15	GB	1	3	2	2	3	33
43.65	CA	4	1	3	5	3	42
34.25	GB	2	5	2	4	2	43
43.65	US	1	5	2	4	4	61
35.95	GB	3	5	3	5	4	48
24.3	FR	1	1	1	4	3	40
34.2	US	1	5	2	4	4	36
22.6	GB	4	4	2	3	3	21
13.15	GB	2	4	3	3	2	16
33.6	US	3	3	2	3	4	32
36.9	US	1	1	1	5	4	54
37.25	US	3	1	3	4	3	36
34.25	US	4	1	4	4	2	22
41.3	IE	3	1	3	1	4	27
38.6	GB	3	2	4	4	4	55
27.85	US	2	1	3	2	3	29
30.25	CA	3	2	2	3	2	21
35.55	US	1	3	2	2	1	13
29.95	IN	4	2	4	3	3	22
2.5	FI	3	5	4	2	3	53
34.9	GB	2	1	3	4	4	27
22.25	DK	3	3	2	5	3	31
22.9	TH	4	1	3	4	3	23
42.3	GB	4	1	2	4	4	46
40.95	US	2	5	1	4	4	49
43.65	JP	3	2	3	4	4	51
43.65	GB	2	2	2	4	3	53
39	US	1	1	1	5	4	31
31.9	GB	2	3	4	3	3	28
38.25	US	1	1	1	2	4	72
41.3	NL	2	1	3	3	2	60
37.6	GB	2	1	3	4	3	48
34.25	IE	2	5	1	5	4	28
36.25	GB	3	1	2	3	4	35
40.95	GB	2	2	2	2	4	52
30.95	IE	5	4	1	3	2	36
28.25	GB	3	1	3	1	4	48
36.9	GB	4	5	2	4	2	32
42.65	GB	4	5	3	4	3	53
21.9	GB	1	5	1	1	2	60
0.45	IN	2	5	2	3	4	20
26.15	CA	3	4	4	2	2	30
33.6	KE	4	1	3	3	4	46
39.65	CA	2	4	2	4	3	33
38.25	US	2	2	1	2	2	65
26.2	US	1	2	1	3	4	54
42.65	NO	5	1	2	3	4	51
33	CA	3	1	3	4	2	65
29.9	GB	2	1	2	2	2	30
23.15	FI	1	3	1	4	3	49
45	US	1	1	3	4	4	55
25.55	GB	5	3	4	5	1	22
30.15	PL	4	1	4	4	3	38
16.45	IT	5	3	2	4	1	16
15.55	US	4	5	4	2	1	13
32.2	GB	1	4	2	2	4	30
40.95	AU	4	1	2	4	3	85
11.5	MX	2	1	3	3	3	24
36.25	CA	2	5	5	5	2	17
-15.05	PH	1	4	4	1	4	26
42.3	GB	3	2	2	4	2	61
16.95	CA	2	5	4	5	2	18
39.65	US	4	2	2	4	2	41
20.7	US	4	3	2	3	2	22
37.6	US	4	1	3	4	3	47
34.95	US	2	1	1	4	2	32
38.25	AU	1	1	2	4	3	60
42.3	US	5	3	1	1	2	25
30.55	GB	5	1	2	4	3	44
40.95	US	5	5	3	2	2	37
13.05	IN	1	1	1	1	2	18
43.65	IN	3	4	4	4	3	40
31.85	GB	4	2	4	3	4	34
42.65	GB	1	1	1	2	3	48
30.9	DE	2	2	2	5	4	34
39.95	JP	3	4	4	4	3	24
39.6	GB	1	1	4	3	4	45
43.65	GB	1	1	3	1	2	29
31.6	GB	3	1	1	5	3	50
14.25	GB	2	4	3	4	2	21
42.65	GB	3	5	1	2	4	45
18.35	NG	2	4	2	3	4	66
18.55	GB	1	2	2	3	2	25
39.6	GB	3	1	4	5	4	40
27.3	GB	3	3	4	3	1	65
45	CA	4	1	3	5	4	45
36.3	US	4	3	4	5	3	21
40.95	US	3	1	3	3	3	78
36.25	GB	3	3	4	3	3	54
32.55	GB	1	1	1	1	2	29
17.8	AT	2	3	3	3	2	22
34.2	US	4	4	4	5	3	20
38.25	GB	1	1	5	5	2	56
16.65	AU	3	5	3	5	2	25
39.95	GB	2	3	1	5	3	60
30.85	CA	5	1	3	3	3	46
45	US	2	2	1	3	3	60
37.95	US	2	3	1	4	4	48
35.3	GB	5	1	1	5	3	28
43.65	US	3	5	2	0	2	59
31.6	GB	4	1	2	3	2	32
37.6	GB	3	1	1	5	2	79
34.25	US	4	1	4	4	2	18
27.85	GB	1	2	3	2	3	20
34.9	US	3	5	4	5	4	30
29.65	US	1	5	1	1	2	56
40.65	US	2	3	1	2	2	63
31.2	GB	4	4	4	2	2	21
38.25	US	1	4	1	4	3	40
43.65	US	3	4	1	2	2	55
11.9	US	4	1	1	5	4	45
26.85	CA	3	5	1	1	3	18
28.85	US	2	5	1	3	1	13
35.9	CA	1	2	1	3	2	69
43.65	US	5	1	1	5	2	48
23.6	GB	4	5	1	2	3	28
40.3	US	1	4	2	5	3	34
33.2	JP	5	5	5	5	4	41
28.3	DE	2	1	2	4	3	27
38.95	GB	4	2	4	3	4	36
23.2	US	5	2	3	3	3	30
23.25	HU	3	1	1	4	3	37
18.6	CH	4	2	3	5	3	31
15.2	HU	2	3	2	2	2	20
17.05	HU	4	1	2	4	3	33
36.3	US	1	3	1	5	3	27
15.2	HU	4	1	1	4	3	36
23.4	GB	1	1	1	3	3	30
20.5	DE	5	2	4	5	2	24
34.9	US	5	3	1	3	3	59
21.85	US	1	1	1	3	3	55
27.6	MX	2	3	4	2	2	21
16.55	HU	4	1	3	2	4	32
39.6	US	2	4	3	5	4	42
34.2	US	3	1	2	5	3	37
28.85	DE	1	3	2	2	3	32
10	RU	4	3	5	3	1	41
16.5	HU	5	2	4	0	2	23
18.1	HU	2	1	2	1	2	38
37.95	US	1	1	2	1	1	26
37.25	US	5	1	2	4	2	55
41.3	US	1	1	1	4	4	75
28.25	US	2	1	1	4	1	13
36.9	US	2	1	1	4	4	70
31.9	US	4	3	4	2	2	29
20.95	HU	4	1	2	4	2	32
25.55	US	3	5	2	2	2	20
35.9	US	3	1	3	5	2	17
42.65	US	3	3	2	3	4	34
39.6	GB	3	1	1	2	4	48
32.95	HU	1	4	2	5	3	31
45	HK	5	5	1	5	2	16
18.75	IT	2	2	2	2	2	20
29.95	FR	3	1	1	2	2	32
16.45	IN	5	5	5	5	4	30
40.95	GB	2	1	2	4	2	21
25.95	US	1	1	2	5	2	26
20.15	GB	3	3	1	3	3	35
36.95	US	2	2	4	3	4	44
41.3	US	2	1	2	5	3	23
23.3	TN	1	3	2	4	4	43
17.15	KE	4	1	1	1	3	22
32.2	US	2	2	1	4	3	33
29.55	US	4	3	2	5	2	20
43.65	US	4	5	3	2	3	69
29.55	US	3	5	1	4	2	48
40.95	CO	1	2	2	2	4	45
34.65	US	5	1	4	4	2	48
45	US	4	2	2	4	4	30
32.25	US	0	0	0	0	3	24
39.6	US	4	3	3	4	3	21
33.9	US	4	3	2	4	3	38
20.45	CA	3	4	2	5	1	15
15.4	US	5	5	4	5	1	13
38.25	CA	4	5	4	5	2	27
36.25	NL	1	1	2	5	3	57
42.3	GB	3	4	1	2	3	61
14.2	HU	1	1	1	1	2	29
37.6	CA	4	5	2	5	3	30
31.9	US	3	5	1	1	3	65
28.2	US	4	4	4	4	1	14
39.6	US	1	4	3	5	3	59
17.7	ES	2	4	3	3	2	43
31.95	HU	1	3	5	4	2	22
21.6	US	1	3	1	1	3	42
33.2	GB	5	1	1	4	2	16
31.5	AR	4	3	2	2	2	17
40.65	US	3	1	1	1	3	55
32.9	NZ	1	3	2	4	4	26
16.2	US	4	1	4	4	2	19
38.6	US	2	5	2	2	4	38
24.75	CA	3	4	1	3	2	34
29.5	CA	1	1	1	3	1	60
37.3	CA	2	4	2	3	2	60
31.95	CA	1	5	1	1	4	58
41.3	CA	4	3	2	4	2	58
39.3	CA	5	3	1	4	2	54
26.55	IN	3	4	3	3	1	16
32.9	AU	2	1	1	3	2	42
28.55	HU	3	1	2	1	3	30
19.25	MY	2	4	2	2	2	22
30.5	GB	3	5	3	5	2	35
40.3	CA	1	1	1	3	2	74
22.4	CA	1	3	1	2	2	52
34.55	GB	2	1	2	2	4	38
30.55	TR	2	1	3	3	2	24
36.6	US	1	1	1	2	4	45
26.65	CA	0	0	0	0	4	68
33.55	BE	1	1	1	3	4	25
36.9	GB	2	5	3	1	2	47
43.65	CA	3	3	1	4	3	68
35	US	3	1	3	1	3	26
43.65	US	4	5	1	5	4	58
18.2	NL	3	1	1	1	2	26
26.55	US	2	1	2	2	2	56
19.55	CA	4	4	2	2	3	38
20.15	CA	1	5	3	3	2	40
32.25	GB	4	4	4	4	2	22
24.55	CA	5	5	5	2	2	52
32.2	CA	2	1	3	3	4	70
31.3	US	5	1	2	2	1	17
41.3	CA	4	1	2	4	3	30
41.3	CA	1	5	1	4	4	64
32.65	CA	5	1	1	1	2	59
40.95	CA	1	3	5	3	3	66
38.6	US	1	2	1	4	4	49
32.55	US	1	5	4	4	2	46
32.2	CA	3	5	3	1	4	50
34.2	AE	4	1	2	4	3	31
35.65	IT	1	1	3	1	2	82
34.9	US	3	4	4	2	3	26
34.95	US	2	1	2	1	2	24
33.6	US	1	3	1	3	4	60
28.55	GB	2	1	2	4	2	51
18.55	NZ	4	4	3	2	2	15
39.6	CA	2	4	3	2	3	61
14.8	CA	1	3	2	1	1	13
37.3	US	1	1	1	5	3	44
37.25	US	2	2	2	4	2	49
15.75	US	3	5	2	4	1	16
19.35	US	4	1	3	5	1	16
11.05	PH	5	3	3	3	4	26
38.95	US	4	3	2	3	4	63
10	CA	1	1	3	2	2	22
29.6	DE	3	3	3	3	2	47
21.2	DK	3	3	2	1	1	25
28.9	US	2	1	1	2	2	51
45	US	4	1	3	4	2	39
32.6	AU	4	2	2	4	2	35
29.9	GB	2	4	4	4	2	32
45	GB	2	3	1	2	3	60
23.5	CZ	5	1	4	5	1	18
9.3	CO	4	4	3	3	2	19
38.95	US	3	3	2	3	4	65
38	CA	4	3	1	4	3	34
45	US	4	3	4	4	4	53
38.25	GB	5	3	1	3	2	51
36.65	US	1	5	1	2	4	56
42.3	GB	1	3	3	4	2	55
32.9	US	3	1	2	2	2	23
23.55	MX	3	3	5	5	2	46
27.9	US	2	5	3	4	1	14
18.25	NL	4	5	3	4	2	17
33.3	CA	3	3	1	4	2	28
22.1	US	5	3	3	1	3	23
34.65	GB	5	4	5	3	2	17
31.6	DE	5	1	2	4	2	18
42.3	IE	2	2	2	3	2	23
31.55	CA	2	4	2	3	3	78
34.25	US	1	1	1	1	3	70
31.9	DE	3	1	2	4	4	34
28.55	US	4	2	2	4	4	36
12.25	PH	1	4	3	4	3	22
16.25	BR	5	1	1	3	2	19
17.1	NL	5	1	2	5	1	15
13.6	MY	5	1	1	1	2	16
30.5	US	2	3	2	2	3	18
30.5	US	4	5	4	4	3	20
39.3	CA	2	2	3	2	3	74
23.55	RS	1	5	1	3	2	18
28.85	BR	4	3	2	2	3	37
19.95	GB	5	1	4	4	1	15
40.95	CA	1	5	1	1	4	61
36.9	US	4	1	1	1	3	65
37.25	US	4	5	3	2	3	62
26.5	US	3	3	1	1	2	17
34.6	US	4	3	4	3	3	22
25.95	CA	4	1	4	3	2	20
14.2	CA	2	1	4	4	1	14
40.95	GB	3	3	3	3	4	49
30.95	US	5	4	4	5	2	19
19.2	US	3	5	1	2	3	41
12.3	ID	1	3	3	3	3	25
31.85	GB	4	5	1	4	3	36
24.2	US	1	2	2	4	3	41
33.9	US	4	2	4	4	3	25
28.85	US	2	4	2	3	2	20
43	GB	5	2	1	4	4	53
11.75	IT	5	2	5	5	4	28
27.25	US	1	3	1	1	2	71
23.6	GB	4	3	3	5	2	17
40.3	AU	2	1	2	3	4	37
18.85	US	2	5	3	5	1	13
21.9	US	2	3	1	4	3	33
38.65	US	4	3	3	1	3	28
22.85	MX	4	3	1	3	3	37
31.85	US	1	2	2	4	3	67
8.3	IN	1	3	4	2	3	36
41.3	GB	2	1	3	3	3	54
34.25	US	4	1	4	4	4	52
43.65	US	4	2	2	4	2	51
21.3	US	2	5	1	1	4	41
30.85	US	2	1	1	2	4	25
28.25	MX	4	4	2	3	2	21
33.55	US	1	4	2	4	4	49
29.55	US	3	5	1	5	3	28
26.9	US	5	4	4	2	2	18
17.3	US	1	1	4	1	2	28
26.25	AU	4	3	3	2	2	19
36.6	US	1	1	4	4	3	45
29.25	US	4	1	1	3	2	54
34.95	GB	2	1	4	4	2	25
-12.35	US	5	5	1	1	2	29
30.9	GB	3	1	2	4	4	42
17.8	NL	1	3	1	3	2	39
26.15	GB	4	5	1	1	3	34
39.3	US	3	2	4	5	2	18
27.25	BH	3	4	2	2	3	20
13.7	CL	1	4	1	2	2	19
35.55	BR	1	3	1	4	4	44
40.95	US	1	1	5	5	4	33
38.6	US	5	5	1	5	4	29
36.25	CA	2	1	3	4	3	34
27.9	CA	3	3	3	5	4	25
22.9	GB	3	1	2	1	2	49
39.95	US	2	2	1	4	4	54
16.8	SG	4	5	5	5	2	17
40.95	AU	3	1	4	2	3	42
28.2	AU	2	5	4	3	4	38
27.6	GB	4	3	3	3	2	39
32.9	HU	4	3	3	3	3	26
10.15	PK	2	1	4	1	3	30
32.6	US	4	4	3	4	2	21
27.85	US	4	2	3	3	3	22
32.25	US	4	3	3	5	2	39
40.95	US	1	1	1	4	4	28
20.75	US	1	4	1	1	2	19
20.05	PH	1	3	5	1	3	25
37.25	CA	3	5	3	5	2	23
41.3	US	3	1	2	3	4	34
35.25	IN	4	2	3	1	2	17
14.85	TR	1	1	3	4	3	60
29.6	US	3	4	2	4	2	23
42.3	GB	3	1	3	4	4	62
32.95	GB	2	4	2	4	3	22
7.8	AL	3	3	1	1	2	19
34.95	GB	4	3	4	5	3	49
42.3	US	3	5	3	1	4	70
25.85	US	1	1	1	4	4	55
17.4	BR	5	5	5	3	2	17
40.95	US	3	1	1	1	2	55
16.05	CA	3	5	3	2	1	16
22.6	GB	3	3	4	4	2	17
40.3	AT	3	4	3	3	2	22
12.5	ID	5	1	4	3	2	20
34.25	GB	4	3	4	5	2	21
27.15	US	3	4	2	3	2	18
35.6	US	3	4	2	3	2	19
27.6	GB	4	0	5	3	3	23
36.6	PW	2	1	2	4	4	32
41.3	CA	3	2	2	4	4	46
29.3	US	5	4	3	4	1	13
24.15	SI	4	2	4	3	3	23
36.25	GB	2	4	4	3	2	22
25.15	US	5	1	4	5	3	24
29.5	US	1	5	1	1	3	22
31.25	SE	1	1	2	1	3	56
30.15	US	5	4	4	4	2	16
42.3	US	3	3	4	3	3	59
33.3	BE	4	1	2	5	4	46
14.2	US	4	5	3	5	2	19
26.1	BE	2	4	2	4	4	29
42.3	GB	3	4	4	5	1	24
31.55	FR	2	2	3	4	3	53
39.6	GB	3	1	3	4	4	38
36.6	US	1	1	1	5	2	75
32.9	GB	2	4	2	4	3	19
25.55	US	4	1	2	3	2	31
29.55	US	3	5	4	3	2	19
38.65	US	4	2	1	2	3	28
41.3	US	2	3	1	4	4	50
28.8	GB	3	5	2	3	2	25
25.85	US	2	4	2	2	4	24
34.2	CA	3	3	2	3	2	46
36.25	US	2	3	4	4	4	50
30.9	US	4	3	2	3	2	18
32.9	CA	3	1	1	3	2	51
40.95	NZ	1	1	1	3	2	86
31.3	US	1	4	3	3	2	29
38.25	GB	4	1	2	1	4	50
18.2	IN	3	4	3	4	1	15
22.9	GB	1	5	2	3	2	46
17.95	SE	1	1	2	1	2	28
8.35	GB	2	4	5	2	2	13
17.2	US	4	1	2	2	4	31
43.65	US	2	2	2	4	3	31
11.25	PH	5	5	3	1	4	34
42.65	CA	2	2	1	2	3	60
31.9	US	4	5	2	1	3	26
26.15	US	2	1	4	2	2	18
19.4	US	5	1	2	3	2	19
35.9	US	4	5	3	1	3	22
34.25	US	4	1	2	5	2	24
39.95	US	1	3	2	5	3	61
38.25	US	3	5	4	5	2	18
16.95	US	4	4	2	1	2	18
33.9	GB	2	4	3	4	3	20
34.25	US	2	1	1	2	4	35
31.2	CA	2	1	1	5	2	19
21.6	BR	3	4	1	4	1	14
35.6	GB	3	1	1	2	3	35
33.25	US	4	4	2	4	3	20
42.3	AU	3	1	5	5	3	66
24.55	AU	4	2	3	4	1	16
37.6	NZ	1	2	1	5	3	29
43	IE	3	1	3	4	4	55
35.25	GB	1	2	1	4	4	52
34.25	US	4	4	2	4	2	21
15.95	TH	1	3	1	3	4	34
45	US	3	4	2	3	3	27
39.3	CA	5	1	3	5	2	40
31.2	GB	5	2	4	5	2	18
38.25	US	1	1	1	4	4	60
43.65	GB	3	1	3	4	4	37
35.9	US	1	4	1	4	4	51
37	GB	1	1	2	3	2	58
36.25	US	1	1	2	3	3	31
20.75	US	3	2	2	4	2	15
37.3	US	3	1	2	4	4	29
38.25	TZ	5	5	1	5	3	40
31.25	GB	5	1	3	3	3	36
13.55	SE	3	5	4	5	2	23
25.15	IN	1	4	2	2	4	45
45	US	5	5	3	3	3	22
16.65	US	3	4	2	4	3	37
28.25	US	2	5	3	5	2	15
43.65	GB	2	1	1	2	4	55
21.1	US	3	4	2	5	1	14
39.95	US	1	1	1	4	3	90
-7.3	IN	3	0	0	0	2	26
28.15	US	2	1	1	4	2	18
29.25	US	5	4	2	3	2	19
24.25	FR	4	1	4	4	3	27
38.6	US	3	1	3	3	3	64
32.6	CA	1	1	4	2	3	41
44	US	2	2	2	5	3	25
27.15	CA	4	5	3	4	2	31
39.6	US	1	1	1	4	4	76
39.95	GB	3	1	3	5	4	32
34.9	US	4	1	2	4	2	40
35.65	US	2	4	2	5	4	38
40.3	US	3	1	2	4	3	21
29.5	GB	1	1	5	4	3	60
33.9	GB	2	1	1	1	2	57
38.6	GB	5	5	3	4	3	52
36.95	GB	2	1	1	4	2	59
19.75	FI	4	1	3	1	0	37
26.65	AU	3	3	3	3	2	37
38.65	GB	3	2	1	2	4	50
38.25	US	3	3	2	4	3	75
27.45	US	4	2	3	5	3	19
36.95	US	3	3	1	4	3	62
39.95	GB	2	3	3	2	4	72
38.65	FR	3	3	1	5	3	58
39.6	GB	4	2	3	5	3	40
45	GB	4	5	2	4	2	38
22.75	NL	3	3	4	4	4	42
35.6	CA	2	2	2	4	4	26
28.9	US	5	4	1	3	4	55
42.3	GB	3	1	1	1	4	54
28.25	US	1	1	2	2	3	16
36.9	US	2	1	4	3	3	56
42.3	US	3	3	2	1	4	44
30.2	US	5	3	4	4	1	16
25.85	US	3	5	5	5	2	47
35.25	US	4	1	2	5	4	44
24.85	CA	1	1	1	5	2	69
34.55	CA	4	4	2	4	4	29
26.1	US	1	1	1	3	3	51
16.45	AU	3	2	1	5	2	21
37.6	AU	4	1	4	3	4	51
28.9	US	3	2	3	3	3	24
36.9	AU	1	3	2	4	3	66
26.85	US	4	5	4	5	1	15
22.05	GB	2	1	2	2	2	19
41.65	GB	3	1	2	4	4	44
19.75	IN	3	1	3	4	2	19
37.65	GB	4	1	3	4	2	19
11.65	US	0	3	3	3	1	16
28.85	US	1	3	2	3	2	49
31.3	US	5	5	1	1	1	15
40.95	US	2	1	3	4	2	37
32.2	GB	3	1	2	3	2	19
33.25	US	4	1	2	5	4	45
34.25	US	1	3	1	4	4	31
31.25	CA	1	5	4	5	2	18
36.25	US	3	4	1	5	4	61
12.3	US	1	3	3	1	2	18
26.6	US	2	1	2	3	2	23
32.85	US	2	1	3	3	2	52
40.65	US	3	2	2	3	3	50
40.95	US	3	2	3	3	3	50
32.2	US	1	1	1	3	2	21
26.8	AU	1	1	1	1	3	35
14.95	AU	1	3	3	3	3	30
15.95	SR	1	1	1	1	2	18
14.75	SV	3	3	4	5	1	18
21.9	LT	2	4	4	2	2	20
43.65	GB	1	1	2	2	4	51
3.4	PH	0	0	0	0	4	23
32.25	CA	1	4	2	3	2	20
45	US	5	1	2	5	2	14
33.9	US	2	1	3	3	2	18
38.25	US	3	2	2	5	4	58
25.3	CA	2	1	2	1	3	38
41.65	US	1	4	2	3	3	60
37.3	US	4	2	2	3	1	19
37.65	CA	1	4	2	3	4	20
25.9	CA	2	5	4	4	2	20
22.8	US	3	5	3	5	2	16
42.65	US	4	1	4	5	4	54
38.3	CA	4	4	3	4	4	25
40.95	US	3	4	1	4	3	69
12.2	GB	3	1	1	3	4	24
30.6	GB	1	4	3	3	2	19
25.5	US	1	1	5	5	2	19
27.25	US	2	3	3	3	3	28
27.2	CA	4	4	3	5	2	17
40.95	US	3	1	1	5	2	72
34.2	CA	4	2	2	2	1	15
16	None	5	5	3	3	4	44
26.2	US	1	1	4	3	1	16
26.9	AU	5	1	1	3	1	14
20.25	AR	4	5	5	3	1	17
29.6	US	3	4	1	3	2	52
32.9	US	4	5	2	5	3	31
33.3	CA	3	1	2	5	2	24
37.25	US	5	1	1	1	2	31
28.55	US	2	2	2	5	1	15
41.3	GB	3	5	4	3	2	47
21.9	KE	4	1	3	2	3	25
26.85	VE	2	2	4	5	3	25
40.3	US	1	1	2	5	3	47
39.6	GB	4	3	1	3	2	41
32.2	US	1	5	1	2	2	47
43.65	GB	4	1	1	1	4	63
40.95	US	1	5	1	4	4	59
25.8	US	3	4	2	4	1	16
41.3	GB	3	1	1	1	3	51
19.15	US	4	1	1	2	1	16
33.25	US	2	1	1	5	3	23
19.95	US	2	3	0	3	3	80
34.6	US	4	4	1	2	2	26
40.95	US	4	5	2	1	2	21
18.65	EE	1	1	2	2	3	25
33.95	CA	4	4	1	5	2	18
40.95	FR	5	2	3	4	4	54
19.5	US	3	1	1	1	1	50
39.95	GB	3	1	3	3	3	74
25.85	CA	3	4	4	3	2	20
13	GB	4	3	4	3	2	14
41	GB	4	5	3	4	1	15
22.5	US	4	3	3	3	1	15
40.3	CA	1	1	4	4	3	52
37.6	US	4	2	3	3	4	60
31.2	GB	3	3	2	5	2	18
34.95	US	2	2	2	2	4	37
14.6	PH	1	2	3	1	3	20
23.8	CA	5	5	5	5	2	19
23.25	IT	2	3	3	2	2	22
21.65	DE	3	4	3	4	2	42
38.6	US	1	5	2	3	2	44
16.9	GB	3	1	3	2	3	29
12.95	BR	5	1	2	2	2	18
24.9	US	2	1	2	4	2	22
17.25	US	1	3	2	3	3	21
20.75	BE	4	2	4	4	2	17
45	US	4	1	3	5	3	24
26.85	CA	1	1	4	4	2	27
24.8	CA	3	4	2	4	1	14
19.4	US	2	5	1	5	3	29
21.8	US	4	5	4	4	2	19
36.6	TR	4	5	1	2	4	51
37.3	GB	4	1	4	2	3	27
43.65	IE	4	4	2	4	3	64
16.55	CZ	3	1	2	3	2	16
33.3	US	1	1	1	4	3	60
33.25	US	2	3	2	3	3	65
30.55	US	4	1	2	3	2	19
20.9	US	3	5	1	2	2	46
19.6	FR	3	1	3	5	4	37
40.3	US	4	3	2	4	3	24
30.95	US	4	1	1	1	2	35
42.65	US	4	3	2	4	3	56
30.5	MN	1	3	1	3	3	50
34.2	US	1	3	2	4	4	52
43.65	US	1	5	1	3	4	74
18.6	SG	4	2	2	2	2	21
40.95	GB	4	5	4	4	3	41
19.25	MA	4	1	3	3	2	15
-1	PK	3	4	5	1	3	21
30.65	GB	1	2	1	4	3	27
-14.4	US	2	5	1	4	4	59
40.95	ZA	1	1	5	5	4	61
34.3	US	2	1	1	5	3	23
16.3	NO	5	5	3	5	3	18
5.4	MY	3	3	3	1	2	42
31.55	US	1	4	1	3	4	40
28.85	SG	3	4	4	4	2	20
29.9	US	5	1	5	1	2	18
36.9	US	4	1	1	5	3	62
36.6	US	2	1	1	3	3	23
30.3	US	4	2	4	3	2	18
15.45	AP	5	1	1	5	3	25
42.3	US	4	4	3	4	3	55
42.3	US	3	5	2	4	2	59
19.85	HK	3	3	4	3	3	45
35.55	MO	1	3	4	4	3	21
